Iled [A]    ,Uled [V]  ,Udet [V],	
9.925E-7    ,1.339     ,1.043E-5,
1.985E-6    ,1.375     ,1.798E-5,
2.998E-6    ,1.395     ,2.093E-5,
3.991E-6    ,1.410     ,3.023E-5,
4.983E-6    ,1.421     ,3.732E-5,
5.997E-6    ,1.431     ,4.885E-5,
6.989E-6    ,1.438     ,6.247E-5,
7.982E-6    ,1.445     ,7.976E-5,
8.995E-6    ,1.451     ,9.730E-5,
9.988E-6    ,1.456     ,1.171E-4,
1.499E-5    ,1.476     ,2.420E-4,
2.000E-5    ,1.491     ,4.101E-4,
2.998E-5    ,1.510     ,8.531E-4,
3.999E-5    ,1.523     ,1.415E-3,
4.998E-5    ,1.533     ,2.068E-3,
5.999E-5    ,1.541     ,2.810E-3,
7.000E-5    ,1.548     ,3.607E-3,
7.999E-5    ,1.553     ,4.465E-3,
8.963E-5    ,1.562     ,6.038E-3,
9.964E-5    ,1.566     ,7.034E-3,
1.497E-4    ,1.581     ,1.247E-2,
1.997E-4    ,1.592     ,1.827E-2,
2.998E-4    ,1.607     ,2.995E-2,
3.999E-4    ,1.617     ,4.128E-2,
4.996E-4    ,1.625     ,5.180E-2,
5.997E-4    ,1.631     ,6.167E-2,
6.998E-4    ,1.636     ,7.074E-2,
7.999E-4    ,1.641     ,7.913E-2,
9.000E-4    ,1.645     ,8.687E-2,
9.996E-4    ,1.649     ,9.413E-2,
1.500E-3    ,1.653     ,1.203E-1,
1.999E-3    ,1.676     ,1.476E-1,
2.998E-3    ,1.693     ,1.799E-1,
3.998E-3    ,1.706     ,2.031E-1,
4.997E-3    ,1.717     ,2.217E-1,
5.997E-3    ,1.727     ,2.367E-1,
6.996E-3    ,1.737     ,2.498E-1,
7.996E-3    ,1.745     ,2.609E-1,
8.995E-3    ,1.753     ,2.709E-1,
9.995E-3    ,1.760     ,2.794E-1,
2.000E-2    ,1.832     ,3.405E-1,