f [Hz]      ,Udet [V]    
9.994       ,1.631E-1
1.100E+1    ,1.620E-1
1.200E+1    ,1.623E-1
1.300E+1    ,1.624E-1
1.400E+1    ,1.625E-1
1.499E+1    ,1.627E-1
1.600E+1    ,1.627E-1
1.700E+1    ,1.628E-1
1.800E+1    ,1.628E-1
1.900E+1    ,1.629E-1
1.999E+1    ,1.629E-1
2.999E+1    ,1.631E-1
3.999E+1    ,1.631E-1
4.999E+1    ,1.632E-1
5.999E+1    ,1.632E-1
6.999E+1    ,1.632E-1
7.999E+1    ,1.632E-1
8.999E+1    ,1.632E-1
9.999E+1    ,1.637E-1
2.000E+2    ,1.630E-1
3.000E+2    ,1.625E-1
4.000E+2    ,1.621E-1
5.000E+2    ,1.616E-1
6.000E+2    ,1.612E-1
7.000E+2    ,1.607E-1
8.000E+2    ,1.602E-1
9.000E+2    ,1.597E-1
1.000E+3    ,1.591E-1
2.000E+3    ,1.548E-1
3.000E+3    ,1.506E-1
4.000E+3    ,1.464E-1
5.000E+3    ,1.427E-1
6.000E+3    ,1.394E-1
7.000E+3    ,1.362E-1
8.000E+3    ,1.332E-1
9.000E+3    ,1.304E-1
1.000E+4    ,1.278E-1