Natočení LED [°] ,Natočení det. [°],Udet [V],
0   ,0   ,2,460E-2,
0   ,10  ,4,203E-2,
0   ,20  ,7,688E-2,
0   ,30  ,1,163E-1,
0   ,40  ,1,534E-1,
0   ,50  ,1,790E-1,
0   ,60  ,1,952E-1,
0   ,70  ,1,992E-1,
0   ,80  ,1,904E-1,
0   ,90  ,1,686E-1,
0   ,100 ,1,361E-1,
0   ,110 ,9,117E-2,
0   ,120 ,4,810E-2,
0   ,130 ,2,199E-2,
0   ,140 ,1,199E-2,
0   ,150 ,9,956E-3,
0   ,160 ,8,968E-3,
0   ,170 ,8,078E-3,
0   ,180 ,5,972E-3,
30  ,0   ,3,070E-2,
30  ,5   ,4,026E-2,
30  ,10  ,5,423E-2,
30  ,15  ,7,240E-2,
30  ,20  ,9,100E-2,
30  ,25  ,1,097E-1,
30  ,30  ,1,277E-1,
30  ,35  ,1,443E-1,
30  ,40  ,1,583E-1,
30  ,45  ,1,700E-1,
30  ,50  ,1,795E-1,
30  ,55  ,1,870E-1,
30  ,60  ,1,919E-1,
30  ,65  ,1,930E-1,
30  ,70  ,1,915E-1,
30  ,75  ,1,870E-1,
30  ,80  ,1,787E-1,
30  ,85  ,1,678E-1,
30  ,90  ,1,546E-1,
30  ,95  ,1,384E-1,
30  ,100 ,1,187E-1,
30  ,105 ,9,557E-2,
30  ,110 ,7,392E-2,
30  ,115 ,5,254E-2,
30  ,120 ,3,472E-2,
30  ,125 ,2,359E-2,
30  ,130 ,1,624E-2,
30  ,135 ,1,258E-2,
30  ,140 ,1,116E-2,
30  ,145 ,1,046E-2,
30  ,150 ,9,984E-3,
30  ,155 ,9,616E-3,
30  ,160 ,9,242E-3,
30  ,165 ,8,817E-3,
30  ,170 ,8,072E-3,
30  ,175 ,6,559E-3,
30  ,180 ,5,821E-3,
60  ,0   ,3,544E-2,
60  ,5   ,4,645E-2,
60  ,10  ,6,099E-2,
60  ,15  ,7,708E-2,
60  ,20  ,9,356E-2,
60  ,25  ,1,107E-1,
60  ,30  ,1,264E-1,
60  ,35  ,1,402E-1,
60  ,40  ,1,522E-1,
60  ,45  ,1,622E-1,
60  ,50  ,1,700E-1,
60  ,55  ,1,763E-1,
60  ,60  ,1,793E-1,
60  ,65  ,1,790E-1,
60  ,70  ,1,764E-1,
60  ,75  ,1,704E-1,
60  ,80  ,1,612E-1,
60  ,85  ,1,499E-1,
60  ,90  ,1,361E-1,
60  ,95  ,1,181E-1,
60  ,100 ,9,734E-2,
60  ,105 ,7,573E-2,
60  ,110 ,5,733E-2,
60  ,115 ,3,834E-2,
60  ,120 ,2,531E-2,
60  ,125 ,1,766E-2,
60  ,130 ,1,230E-2,
60  ,135 ,1,019E-2,
60  ,140 ,9,242E-3,
60  ,145 ,8,725E-3,
60  ,150 ,8,334E-3,
60  ,155 ,8,004E-3,
60  ,165 ,7,228E-3,
60  ,170 ,6,174E-3,
60  ,175 ,5,219E-3,
60  ,180 ,4,933E-3,
90  ,0   ,2,186E-2,
90  ,5   ,2,821E-2,
90  ,10  ,3,779E-2,
90  ,15  ,5,026E-2,
90  ,20  ,6,400E-2,
90  ,25  ,7,921E-2,
90  ,30  ,9,488E-2,
90  ,35  ,1,089E-1,
90  ,40  ,1,212E-1,
90  ,45  ,1,317E-1,
90  ,50  ,1,406E-1,
90  ,55  ,1,483E-1,
90  ,60  ,1,533E-1,
90  ,65  ,1,549E-1,
90  ,70  ,1,540E-1,
90  ,75  ,1,503E-1,
90  ,80  ,1,431E-1,
90  ,85  ,1,341E-1,
90  ,90  ,1,235E-1,
90  ,95  ,1,107E-1,
90  ,100 ,9,385E-2,
90  ,105 ,7,479E-2,
90  ,110 ,5,769E-2,
90  ,115 ,4,164E-2,
90  ,120 ,2,830E-2,
90  ,125 ,1,989E-2,
90  ,130 ,1,411E-2,
90  ,135 ,1,064E-2,
90  ,140 ,9,242E-3,
90  ,145 ,8,504E-3,
90  ,150 ,8,015E-3,
90  ,155 ,7,622E-3,
90  ,160 ,7,240E-3,
90  ,165 ,6,767E-3,
90  ,170 ,5,957E-3,
90  ,175 ,5,022E-3,
90  ,180 ,4,592E-3,