VSB,UTH
1,0.537571
1,0.538879
2,0.540187
3,0.541494
4,0.542803
5,0.54411
6,0.545417
7,0.546725
8,0.548033
9,0.549339
10,0.550646
11,0.551953
12,0.553259
13,0.554566
14,0.555873
15,0.557179
16,0.558485
17,0.559791
18,0.561098
19,0.562403
20,0.563709
21,0.565015
22,0.56632
23,0.567625
24,0.568932
25,0.570236
26,0.571541
27,0.572846
28,0.574151
29,0.575456
30,0.57676
31,0.578065
32,0.579369
33,0.580673
34,0.581978
35,0.583282
36,0.584585
37,0.58589
38,0.587193
39,0.588496
40,0.5898
41,0.591104
42,0.592407
43,0.59371
44,0.595014
45,0.596316
46,0.597618
47,0.598922
48,0.600224
49,0.601526
50,0.602829
51,0.604131
52,0.605433
53,0.606735
54,0.608037
55,0.609338
56,0.61064
57,0.611942
58,0.613243
59,0.614544
60,0.615846
61,0.617147
62,0.618447
63,0.619749
64,0.62105
65,0.62235
66,0.62365
67,0.624952
68,0.626251
69,0.627551
70,0.628852
71,0.630152
72,0.631451
73,0.632751
74,0.634051
75,0.63535
76,0.63665
77,0.63795
78,0.639248
79,0.640547
80,0.641847
81,0.643146
82,0.644444
83,0.645743
84,0.647042
85,0.64834
86,0.649638
87,0.650937
88,0.652235
89,0.653532
90,0.654831
91,0.656129
92,0.657426
93,0.658724
94,0.660022
95,0.661318
96,0.662615
97,0.663913
98,0.66521
99,0.666507
100,0.667804
101,0.669101
102,0.670397
103,0.671694
104,0.672991
105,0.674286
106,0.675582
107,0.676879
108,0.678175
109,0.67947
110,0.680766
111,0.682063
112,0.683357
113,0.684653
114,0.685949
115,0.687244
116,0.688539
117,0.689834
118,0.691129
119,0.692424
120,0.693718
121,0.695014
122,0.696308
123,0.697602
124,0.698897
125,0.700191
126,0.701485
127,0.702779
128,0.704073
129,0.705366
130,0.70666
131,0.707955
132,0.709247
133,0.710541
134,0.711834
135,0.713128
136,0.71442
137,0.715713
138,0.717007
139,0.718299
140,0.719592
141,0.720885
142,0.722177
143,0.723469
144,0.724762
145,0.726054
146,0.727346
147,0.728638
148,0.72993
149,0.731222
150,0.732513
151,0.733805
152,0.735097
153,0.736387
154,0.737679
155,0.738971
156,0.740261
157,0.741552
158,0.742843
159,0.744134
160,0.745424
161,0.746715
162,0.748006
163,0.749296
164,0.750586
165,0.751877
166,0.753167
167,0.754456
168,0.755747
169,0.757037
170,0.758326
171,0.759616
172,0.760906
173,0.762195
174,0.763484
175,0.764773
176,0.766063
177,0.767351
178,0.76864
179,0.76993
180,0.771218
181,0.772506
182,0.773795
183,0.775084
184,0.776372
185,0.77766
186,0.778949
187,0.780236
188,0.781524
189,0.782812
190,0.7841
191,0.785387
192,0.786675
193,0.787963
194,0.78925
195,0.790537
196,0.791825
197,0.793112
198,0.794398
199,0.795685
200,0.796973
201,0.798259
202,0.799546
203,0.800833
204,0.802119
205,0.803405
206,0.804691
207,0.805978
208,0.807264
209,0.808549
210,0.809836
211,0.811122
212,0.812407
213,0.813693
214,0.814979
215,0.816264
216,0.817549
217,0.818834
218,0.82012
219,0.821404
220,0.822689
221,0.823975
222,0.825259
223,0.826543
224,0.827828
225,0.829113
226,0.830397
227,0.831681
228,0.832966
229,0.83425
230,0.835534
231,0.836818
232,0.838102
233,0.839385
234,0.840669
235,0.841953
236,0.843236
237,0.844519
238,0.845803
239,0.847087
240,0.848369
241,0.849652
242,0.850936
243,0.852218
244,0.853501
245,0.854784
246,0.856067
247,0.857348
248,0.858631
249,0.859914
250,0.861196
251,0.862478
252,0.86376
253,0.865042
254,0.866324
255,0.867605
256,0.868888
257,0.870169
258,0.87145
259,0.872732
260,0.874014
261,0.875294
262,0.876575
263,0.877857
264,0.879138
265,0.880418
266,0.881699
267,0.882981
268,0.884261
269,0.885541
270,0.886822
271,0.888103
272,0.889382
273,0.890663
274,0.891943
275,0.893223
276,0.894503
277,0.895783
278,0.897063
279,0.898342
280,0.899622
281,0.900902
282,0.902181
283,0.90346
284,0.904739
285,0.906019
286,0.907298
287,0.908576
288,0.909856
289,0.911135
290,0.912413
291,0.913692
292,0.914971
293,0.916249
294,0.917527
295,0.918806
296,0.920084
297,0.921362
298,0.92264
299,0.923919
300,0.925196
301,0.926474
302,0.927752
303,0.92903
304,0.930307
305,0.931584
306,0.932862
307,0.934139
308,0.935416
309,0.936693
310,0.937971
311,0.939248
312,0.940524
313,0.941801
314,0.943079
315,0.944355
316,0.945631
317,0.946908
318,0.948184
319,0.94946
320,0.950737
321,0.952014
322,0.953289
323,0.954565
324,0.955841
325,0.957117
326,0.958392
327,0.959668
328,0.960944
329,0.962219
330,0.963495
331,0.96477
332,0.966046
333,0.96732
334,0.968595
335,0.969871
336,0.971146
337,0.97242
338,0.973695
339,0.974971
340,0.976245
341,0.977519
342,0.978794
343,0.980069
344,0.981342
345,0.982616
346,0.983891
347,0.985165
348,0.986439
349,0.987713
350,0.988987
351,0.99026
352,0.991534
353,0.992808
354,0.994081
355,0.995354
356,0.996628
357,0.997901
358,0.999174
359,1.00045
360,1.00172
361,1.00299
362,1.00427
363,1.00554
364,1.00681
365,1.00808
366,1.00936
367,1.01063
368,1.0119
369,1.01317
370,1.01445
371,1.01572
372,1.01699
373,1.01826
374,1.01953
375,1.02081
376,1.02208
377,1.02335
378,1.02462
379,1.02589
380,1.02717
381,1.02844
382,1.02971
383,1.03098
384,1.03225
385,1.03352
386,1.03479
387,1.03606
388,1.03733
389,1.0386
390,1.03988
391,1.04115
392,1.04242
393,1.04369
394,1.04496
395,1.04623
396,1.0475
397,1.04877
398,1.05004
399,1.05131
400,1.05258
401,1.05385
402,1.05512
403,1.05639
404,1.05766
405,1.05893
406,1.0602
407,1.06147
408,1.06274
409,1.06401
410,1.06527
411,1.06654
412,1.06781
413,1.06908
414,1.07035
415,1.07162
416,1.07289
417,1.07416
418,1.07543
419,1.07669
420,1.07796
421,1.07923
422,1.0805
423,1.08177
424,1.08304
425,1.0843
426,1.08557
427,1.08684
428,1.08811
429,1.08938
430,1.09064
431,1.09191
432,1.09318
433,1.09445
434,1.09571
435,1.09698
436,1.09825
437,1.09952
438,1.10078
439,1.10205
440,1.10332
441,1.10458
442,1.10585
443,1.10712
444,1.10839
445,1.10965
446,1.11092
447,1.11219
448,1.11345
449,1.11472
450,1.11599
451,1.11725
452,1.11852
453,1.11978
454,1.12105
455,1.12232
456,1.12358
457,1.12485
458,1.12611
459,1.12738
460,1.12865
461,1.12991
462,1.13118
463,1.13244
464,1.13371
465,1.13497
466,1.13624
467,1.1375
468,1.13877
469,1.14003
470,1.1413
471,1.14256
472,1.14383
473,1.14509
474,1.14636
475,1.14762
476,1.14889
477,1.15015
478,1.15142
479,1.15268
480,1.15395
481,1.15521
482,1.15647
483,1.15774
484,1.159
485,1.16027
486,1.16153
487,1.16279
488,1.16406
489,1.16532
490,1.16658
491,1.16785
492,1.16911
493,1.17038
494,1.17164
495,1.1729
496,1.17417
497,1.17543
498,1.17669
499,1.17796
500,1.17922
501,1.18048
502,1.18174
503,1.18301
504,1.18427
505,1.18553
506,1.1868
507,1.18806
508,1.18932
509,1.19058
510,1.19185
511,1.19311
512,1.19437
513,1.19563
514,1.1969
515,1.19816
516,1.19942
517,1.20068
518,1.20194
519,1.20321
520,1.20447
521,1.20573
522,1.20699
523,1.20825
524,1.20951
525,1.21078
526,1.21204
527,1.2133
528,1.21456
529,1.21582
530,1.21708
531,1.21834
532,1.2196
533,1.22087
534,1.22213
535,1.22339
536,1.22465
537,1.22591
538,1.22717
539,1.22843
540,1.22969
541,1.23095
542,1.23221
543,1.23347
544,1.23473
545,1.23599
546,1.23725
547,1.23851
548,1.23978
549,1.24104
550,1.2423
551,1.24356
552,1.24482
553,1.24608
554,1.24734
555,1.2486
556,1.24986
557,1.25112
558,1.25237
559,1.25363
560,1.25489
561,1.25615
562,1.25741
563,1.25867
564,1.25993
565,1.26119
566,1.26245
567,1.26371
568,1.26497
569,1.26623
570,1.26749
571,1.26875
572,1.27001
573,1.27126
574,1.27252
575,1.27378
576,1.27504
577,1.2763
578,1.27756
579,1.27882
580,1.28008
581,1.28134
582,1.28259
583,1.28385
584,1.28511
585,1.28637
586,1.28763
587,1.28889
588,1.29014
589,1.2914
590,1.29266
591,1.29392
592,1.29518
593,1.29644
594,1.29769
595,1.29895
596,1.30021
597,1.30147
598,1.30273
599,1.30398
600,1.30524
601,1.3065
602,1.30776
603,1.30902
604,1.31027
605,1.31153
606,1.31279
607,1.31405
608,1.3153
609,1.31656
610,1.31782
611,1.31908
612,1.32034
613,1.32159
614,1.32285
615,1.32411
616,1.32537
617,1.32662
618,1.32788
619,1.32914
620,1.3304
621,1.33165
622,1.33291
623,1.33417
624,1.33542
625,1.33668
626,1.33794
627,1.3392
628,1.34045
629,1.34171
630,1.34297
631,1.34423
632,1.34548
633,1.34674
634,1.348
635,1.34926
636,1.35051
637,1.35177
638,1.35303
639,1.35429
640,1.35554
641,1.3568
642,1.35806
643,1.35932
644,1.36057
645,1.36183
646,1.36309
647,1.36434
648,1.3656
649,1.36686
650,1.36812
651,1.36938
652,1.37063
653,1.37189
654,1.37315
655,1.37441
656,1.37566
657,1.37692
658,1.37818
659,1.37944
660,1.3807
661,1.38195
662,1.38321
663,1.38447
664,1.38573
665,1.38699
666,1.38825
667,1.3895
668,1.39076
669,1.39202
670,1.39328
671,1.39454
672,1.3958
673,1.39706
674,1.39832
675,1.39958
676,1.40084
677,1.4021
678,1.40335
679,1.40461
680,1.40588
681,1.40714
682,1.4084
683,1.40966
684,1.41092
685,1.41218
686,1.41344
687,1.4147
688,1.41596
689,1.41722
690,1.41848
691,1.41975
692,1.42101
693,1.42227
694,1.42353
695,1.4248
696,1.42606
697,1.42732
698,1.42859
699,1.42985
700,1.43112
701,1.43238
702,1.43365
703,1.43491
704,1.43618
705,1.43744
706,1.43871
707,1.43998
708,1.44125
709,1.44251
710,1.44378
711,1.44505
712,1.44632
713,1.44759
714,1.44886
715,1.45013
716,1.4514
717,1.45267
718,1.45395
719,1.45522
720,1.45649
721,1.45777
722,1.45905
723,1.46032
724,1.4616
725,1.46288
726,1.46416
727,1.46543
728,1.46672
729,1.468
730,1.46928
731,1.47056
732,1.47185
733,1.47313
734,1.47442
735,1.47571
736,1.477
737,1.47829
738,1.47958
739,1.48087
740,1.48217
741,1.48346
742,1.48476
743,1.48606
744,1.48736
745,1.48867
746,1.48997
747,1.49128
748,1.49259
749,1.4939
750,1.49521
751,1.49653
752,1.49785
753,1.49917
754,1.50049
755,1.50182
756,1.50314
757,1.50447
758,1.50581
759,1.50715
760,1.50849
761,1.50983
762,1.51118
763,1.51253
764,1.51389
765,1.51525
766,1.51661
767,1.51798
768,1.51935
769,1.52072
770,1.52211
771,1.52349
772,1.52488
773,1.52628
774,1.52768
775,1.52909
776,1.53051
777,1.53193
778,1.53336
779,1.53479
780,1.53623
781,1.53768
782,1.53914
783,1.5406
784,1.54207
785,1.54355
786,1.54505
787,1.54654
788,1.54805
789,1.54957
790,1.5511
791,1.55264
792,1.55419
793,1.55575
794,1.55732
795,1.55891
796,1.5605
797,1.56212
798,1.56374
799,1.56538
800,1.56703
801,1.5687
802,1.57038
803,1.57208
804,1.5738
805,1.57553
806,1.57728
807,1.57905
808,1.58084
809,1.58265
810,1.58448
811,1.58633
812,1.58821
813,1.5901
814,1.59203
815,1.59397
816,1.59594
817,1.59794
818,1.59997
819,1.60202
820,1.6041
821,1.60622
822,1.60837
823,1.61055
824,1.61276
825,1.61501
826,1.6173
827,1.61963
828,1.622
829,1.62442
830,1.62687
831,1.62938
832,1.63193
833,1.63453
834,1.63719
835,1.6399
836,1.64267
837,1.6455
838,1.6484
839,1.65136
840,1.6544
841,1.65751
842,1.66069
843,1.66396
844,1.66732
845,1.67077
846,1.67431
847,1.67796
848,1.68172
849,1.68559
850,1.68959
851,1.69372
852,1.69798
853,1.7024
854,1.70697
855,1.71172
856,1.71664
857,1.72176
858,1.7271
859,1.73265
860,1.73846
861,1.74452
862,1.75088
863,1.75754
864,1.76455
865,1.77192
866,1.7797
867,1.78793
868,1.79665
